team,record,elo,rank,elo delta,seed,region
Indiana,17-10,1576.59,42,,11,West
South Florida,18-8,1534.3,58,-1,12,West
High Point,23-4,1543.71,56,,13,West
UC Irvine,16-10,1405.99,112,,14,West
Merrimack,20-9,1492.82,66,1,15,West
Long Island,19-10,1283.03,206,,16,West
Abilene Christian,10-14,1229.07,244,-1,,
Air Force,3-24,1015.34,352,,,
Akron,20-5,1559.09,48,,,
Alabama A&M,13-12,1198.01,266,,,
Alabama State,8-19,1094.71,316,2,,
Albany,7-18,1115.06,311,-1,,
Alcorn State,7-19,1113.81,312,-1,,
American,14-13,1230.89,242,-1,,
Arizona State,14-13,1467.89,77,1,,
Arkansas State,16-11,1361,141,,,
Arkansas-Pine Bluff,10-16,1137.28,296,1,,
Army,9-18,1088.25,322,2,,
Ball State,6-19,1087.33,323,2,,
Baylor,13-13,1461.53,81,1,,
Bellarmine,9-17,1131.67,298,1,,
Bethune-Cookman,14-13,1290.71,202,,,
Binghamton,3-23,945.45,361,,,
Boise State,15-10,1500.07,65,1,,
Boston College,9-18,1252.11,227,-1,,
Boston University,12-16,1175.93,281,-1,,
Bowling Green,13-12,1274.64,212,-1,,
Bradley,18-10,1491.12,68,1,,
Brown,7-15,1200.87,262,,,
Bryant,6-19,1062.01,340,,,
Bucknell,8-21,1045.82,345,,,
Buffalo,14-11,1245.2,231,-1,,
Butler,15-13,1424.38,102,,,
Cal Poly,10-16,1305.67,187,1,,
Cal State Bakersfield,6-20,1063.98,339,,,
Cal State Fullerton,13-14,1300.95,194,,,
Cal State Northridge,16-10,1439.49,93,,,
California,18-8,1515.84,61,,,
California Baptist,19-8,1410.59,111,,,
Campbell,11-15,1285.75,203,,,
Canisius,8-20,1026.33,350,,,
Central Arkansas,16-11,1318.87,176,,,
Central Connecticut,14-11,1230.43,243,-1,,
Central Michigan,7-18,1145.98,291,,,
Charleston,18-10,1446.39,90,,,
Charleston Southern,10-16,1101.17,315,,,
Charlotte,13-13,1300.12,195,,,
Chattanooga,9-17,1234.85,238,-1,,
Chicago State,6-22,1047.93,342,,,
Cincinnati,15-12,1547.99,54,,,
Cleveland State,7-19,1182.88,271,-1,,
Coastal Carolina,16-12,1331.72,163,,,
Colgate,15-12,1265.34,220,-1,,
Colorado,15-12,1459.83,84,,,
Colorado State,16-10,1482.35,71,1,,
Columbia,13-10,1224.81,249,-1,,
Coppin State,6-21,1056.38,341,,,
Cornell,10-12,1304.22,189,1,,
Creighton,14-14,1467.55,78,1,,
Dartmouth,9-13,1235.49,236,-1,,
Davidson,14-11,1364.75,138,,,
Dayton,18-9,1508.44,63,,,
Delaware,9-17,1203.32,260,,,
Delaware State,3-19,946.37,359,,,
Denver,12-15,1261.07,222,-1,,
DePaul,14-13,1389,124,,,
Detroit,12-13,1308.12,184,1,,
Drake,10-17,1269.86,216,-1,,
Drexel,14-14,1315.09,180,,,
Duquesne,14-11,1419.57,106,,,
East Carolina,8-18,1232.98,240,-1,,
East Texas A&M,9-19,1072.87,334,-17,,
Eastern Illinois,8-18,1073.29,333,1,,
Eastern Kentucky,9-18,1177.61,278,-1,,
Eastern Michigan,9-18,1130.04,299,1,,
Eastern Washington,10-17,1251.79,228,-1,,
Elon,12-14,1231.63,241,-1,,
Evansville,4-22,1127.64,300,1,,
Fairfield,17-11,1329.46,164,,,
Fairleigh Dickinson,8-18,1077.75,331,1,,
FAU,13-13,1328.74,165,,,
FGCU,12-15,1261.97,221,-1,,
FIU,10-14,1245.94,230,-1,,
Florida A&M,9-15,1126.94,301,1,,
Florida State,14-13,1510.96,62,,,
Fordham,13-12,1363.29,139,,,
Fresno State,11-15,1266.93,219,-1,,
Furman,15-11,1327.19,169,,,
Gardner-Webb,1-25,945.69,360,,,
George Mason,20-6,1477.44,72,1,,
George Washington,14-12,1381.22,129,,,
Georgetown,13-14,1382.94,128,,,
Georgia Southern,13-14,1209.74,255,,,
Georgia State,8-19,1163.19,288,-1,,
Georgia Tech,11-17,1285.54,204,,,
Grambling State,10-15,1081.77,327,10,,
Grand Canyon,17-10,1488.11,69,1,,
Green Bay,14-14,1278.43,208,,,
Hampton,10-16,1208.77,256,,,
Harvard,14-10,1398.15,117,,,
Hawaii,17-7,1389.55,122,,,
Hofstra,17-10,1390.07,121,,,
Holy Cross,8-19,1047.03,343,,,
Houston Christian,9-18,1123.22,307,9,,
Howard,14-10,1248.39,229,-1,,
Idaho,12-13,1198.57,264,,,
Idaho State,9-17,1133.67,297,1,,
Illinois State,17-11,1396.08,118,,,
Incarnate Word,8-18,1081.6,328,-14,,
Indiana State,8-19,1176.87,280,-1,,
Iona,16-13,1258.62,223,-1,,
IU Indianapolis,5-22,1037.09,347,,,
Jackson State,9-18,1160.04,289,-1,,
Jacksonville,8-19,1094.57,318,2,,
Jacksonville State,10-14,1274.1,213,-1,,
James Madison,15-13,1377.65,132,,,
Kansas State,11-16,1383.42,127,,,
Kennesaw State,13-11,1344.2,154,,,
Kent State,18-7,1472.02,74,1,,
La Salle,7-19,1225.33,248,-1,,
Lafayette,8-20,1075.57,332,1,,
Lamar,10-17,1126.67,302,-13,,
Le Moyne,13-15,1125.64,304,,,
Lehigh,11-16,1179.7,277,-1,,
Lindenwood,13-13,1186.53,270,-1,,
Lipscomb,16-11,1336.12,160,,,
Little Rock,9-18,1123.83,306,,,
Long Beach State,6-20,1086.72,324,2,,
Longwood,12-15,1182.33,272,-1,,
Louisiana,10-19,1223.28,252,-1,,
Louisiana Tech,12-12,1319.04,175,,,
Loyola-Chicago,6-22,1193.5,267,,,
Loyola-Maryland,9-18,1104,314,-1,,
Loyola-Marymount,13-15,1268.72,217,-1,,
LSU,14-13,1392.51,119,,,
Maine,6-21,1082.68,326,3,,
Manhattan,11-17,1167.25,284,-1,,
Marist,17-10,1325.37,170,,,
Marquette,9-18,1359.87,142,,,
Marshall,17-11,1359.74,143,,,
Maryland,11-16,1420.7,105,,,
Maryland Eastern Shore,6-20,979.09,356,,,
McNeese,22-5,1537.15,57,2,,
Memphis,12-15,1378.51,131,,,
Mercer,15-11,1310.37,182,1,,
Mercyhurst,12-15,1140.84,293,1,,
Middle Tennessee,10-14,1283.3,205,,,
Milwaukee,10-19,1182.2,273,-1,,
Minnesota,13-14,1423.3,104,,,
Mississippi State,13-14,1452.12,88,,,
Mississippi Valley State,1-27,856.39,365,,,
Missouri,18-9,1563.6,47,,,
Missouri State,10-14,1198.5,265,,,
Monmouth,13-14,1317.85,178,,,
Montana,11-13,1227.31,246,-1,,
Montana State,12-13,1225.94,247,-1,,
Morehead State,14-12,1293.47,201,,,
Morgan State,8-14,1137.67,295,1,,
Mount Saint Mary's,13-15,1303.66,190,1,,
Murray State,20-10,1414.22,108,,,
Nevada,18-9,1504.6,64,,,
New Hampshire,6-18,1031.72,349,,,
New Haven,10-15,1126.63,303,,,
New Mexico State,10-13,1272.32,214,-1,,
New Orleans,14-15,1276.83,210,24,,
Niagara,6-21,1017.68,351,,,
Nicholls,11-17,1188.06,269,17,,
NJIT,14-14,1200.18,263,,,
Norfolk State,10-14,1210.16,253,,,
North Alabama,6-19,1092.94,319,2,,
North Carolina A&T,9-15,1175.17,282,-1,,
North Carolina Central,6-16,1070.54,336,,,
North Dakota State,20-6,1460.73,82,1,,
North Florida,4-23,1011.48,354,,,
North Texas,14-12,1385.04,126,,,
Northeastern,6-20,1094.63,317,2,,
Northern Arizona,7-18,1109.47,313,-1,,
Northern Colorado,15-10,1341.51,156,,,
Northern Illinois,7-17,1117.37,310,-1,,
Northern Iowa,17-11,1411.66,109,,,
Northern Kentucky,14-12,1275.72,211,-1,,
Northwestern,11-16,1403.01,114,,,
Northwestern State,8-19,1163.28,287,6,,
Notre Dame,12-15,1337.56,159,,,
Oakland,14-14,1318.69,177,,,
Ohio,13-13,1314.59,181,,,
Ohio State,17-10,1578.9,41,,,
Oklahoma,13-14,1429.87,97,,,
Oklahoma State,16-11,1447.47,89,,,
Old Dominion,9-19,1201.98,261,,,
Ole Miss,11-16,1379.91,130,,,
Omaha,11-14,1294.41,199,,,
Oral Roberts,4-22,1008.5,355,,,
Oregon,10-17,1399.64,116,,,
Oregon State,15-14,1376.19,133,,,
Pacific,15-13,1307.64,185,1,,
Penn,12-11,1324.51,171,,,
Penn State,11-17,1320.91,173,,,
Pepperdine,6-21,1145.87,292,,,
Pittsburgh,10-17,1346.38,153,,,
Portland,10-17,1209.84,254,,,
Prairie View A&M,7-17,1041.08,346,,,
Presbyterian College,11-15,1173.92,283,-1,,
Princeton,7-18,1182.13,274,-1,,
Providence,12-15,1389.21,123,,,
Purdue Fort Wayne,13-13,1298.87,196,,,
Queens,16-12,1319.29,174,,,
Quinnipiac,17-11,1327.89,167,,,
Radford,12-14,1255.24,225,-1,,
Rhode Island,15-12,1353.96,144,,,
Rice,9-16,1224.41,250,-1,,
Richmond,14-13,1301.6,193,,,
Rider,3-23,1032.94,348,,,
Robert Morris,17-10,1432.18,95,,,
Rutgers,11-16,1388.81,125,,,
Sacramento State,6-18,1071.72,335,,,
Sacred Heart,11-18,1180.99,275,-1,,
Saint Bonaventure,13-13,1293.72,200,,,
Saint Francis (PA),4-22,961.06,357,,,
Saint Joseph's,15-10,1442.96,92,,,
Saint Peter's,14-11,1277.09,209,,,
Saint Thomas,18-8,1343.53,155,,,
Sam Houston State,16-8,1459.16,85,,,
Samford,14-13,1348.6,150,,,
San Diego,9-18,1177.15,279,-1,,
San Diego State,17-8,1549.45,53,,,
San Francisco,14-15,1361.31,140,,,
San Jose State,6-20,1189.48,268,,,
Seattle University,15-12,1353.31,145,,,
Seton Hall,19-9,1472.91,73,1,,
Siena,19-10,1348,151,,,
SIUE,14-12,1236.96,234,-1,,
South Alabama,18-9,1404.95,113,,,
South Carolina,12-15,1368.62,136,,,
South Carolina State,5-19,1080.89,329,1,,
South Carolina Upstate,9-17,1120.86,308,-1,,
South Dakota,11-15,1166.79,285,-1,,
South Dakota State,10-16,1205.72,258,,,
Southeastern Louisiana,7-21,1068.66,337,-9,,
Southern,10-14,1205.08,259,,,
Southern Illinois,13-15,1372.6,134,,,
Southern Indiana,5-21,1011.95,353,,,
Southern Miss,13-14,1270.74,215,-1,,
Southern Utah,6-19,1119.41,309,-1,,
Stanford,16-11,1444.08,91,,,
Stetson,8-19,1089.32,320,2,,
Stonehill,8-19,1046.21,344,,,
Stony Brook,15-11,1332.52,162,,,
Syracuse,15-13,1452.81,86,,,
Tarleton State,10-14,1207.76,257,,,
TCU,17-10,1559,49,,,
Temple,14-12,1321.93,172,,,
Tennessee State,16-9,1316.55,179,,,
Tennessee Tech,10-16,1164.37,286,-1,,
Tennessee-Martin,17-9,1242.64,233,-1,,
Texas A&M-Corpus Christi,11-14,1236,235,17,,
Texas Southern,8-16,1149.18,290,,,
Texas State,16-12,1346.48,152,,,
The Citadel,6-20,1065.13,338,,,
Toledo,12-13,1295.94,198,,,
Towson,12-14,1309.36,183,1,,
Troy,16-11,1370.44,135,,,
Tulane,16-10,1452.35,87,,,
Tulsa,20-6,1467.02,79,1,,
UAB,17-10,1471.7,75,1,,
UC Davis,15-11,1327.32,168,,,
UC Riverside,7-20,1140.4,294,1,,
UC San Diego,17-9,1415.57,107,,,
UC Santa Barbara,15-11,1328.16,166,,,
UIC,14-13,1400.69,115,,,
ULM,2-25,933.22,362,,,
UMass,14-13,1268.66,218,-1,,
UMass-Lowell,10-15,1180.84,276,-1,,
UMKC,1-24,920.1,363,,,
UNC Asheville,10-15,1254.67,226,-1,,
UNCG,10-17,1228.45,245,-1,,
UNLV,13-13,1425.78,100,,,
USC,17-9,1526.01,59,-1,,
UTA,13-12,1255.74,224,-1,,
Utah,10-17,1340.64,157,,,
Utah Valley,17-7,1470.87,76,1,,
UTEP,7-17,1233.25,239,-1,,
UTRGV,14-13,1302.85,192,-10,,
UTSA,3-22,1079.5,330,1,,
Valparaiso,15-13,1424.68,101,,,
VCU,21-7,1588.08,38,,,
Vermont,16-11,1304.48,188,1,,
Virginia Tech,18-10,1516.86,60,,,
VMI,3-23,958.77,358,,,
Wagner,8-16,1089.14,321,2,,
Wake Forest,14-13,1465.35,80,1,,
Washington,13-14,1431.85,96,,,
Washington State,11-17,1333.3,161,,,
Weber State,13-14,1234.86,237,-1,,
West Georgia,10-16,1086.05,325,2,,
West Virginia,16-11,1484.57,70,1,,
Western Carolina,10-15,1223.45,251,-1,,
Western Illinois,2-24,909.3,364,,,
Western Kentucky,14-11,1391.38,120,,,
Western Michigan,8-17,1125.06,305,,,
Wichita State,17-10,1491.72,67,1,,
William & Mary,14-11,1279.77,207,,,
Winthrop,17-9,1435.51,94,,,
Wofford,16-11,1302.94,191,1,,
Wyoming,14-12,1365.64,137,,,
Xavier,13-14,1411.45,110,,,
Youngstown State,12-14,1296.27,197,,,
