team,record,elo,rank,elo delta,seed,region
Duke,25-2,1833.14,2,,1,East
Purdue,22-5,1752.87,7,1,2,East
Kansas,21-7,1733.95,10,5,3,East
Alabama,20-7,1716.39,13,-1,4,East
Saint John's,22-5,1759.7,5,1,5,East
Louisville,20-8,1635.14,27,-6,6,East
Utah State,22-4,1634.59,28,-1,7,East
Iowa,19-8,1603.92,33,,8,East
Georgia,19-8,1569.45,45,,9,East
UCF,19-7,1596.67,36,,10,East
Santa Clara,22-6,1602.53,34,,11,East
Liberty,20-4,1573.57,43,,12,East
North Dakota,13-15,1243.36,232,-1,13,East
Austin Peay,19-6,1426.53,98,,14,East
Utah Tech,14-12,1352.48,147,,15,East
Appalachian State,17-11,1353.13,146,,16,East
Michigan,25-2,1841.7,1,,1,Midwest
Iowa State,23-4,1720.87,12,-1,2,Midwest
Florida,21-6,1758.28,6,1,3,Midwest
Virginia,24-3,1734.24,9,1,4,Midwest
Vanderbilt,21-6,1618.32,30,,5,Midwest
North Carolina,22-6,1660.6,21,7,6,Midwest
Villanova,21-6,1636.67,25,,7,Midwest
SMU,19-8,1571.62,44,,8,Midwest
Texas A&M,19-8,1581.9,40,,9,Midwest
UCLA,18-9,1620.11,29,,10,Midwest
New Mexico,20-6,1591.65,37,,11,Midwest
Belmont,24-4,1613.58,32,,12,Midwest
Stephen F. Austin,23-4,1460.12,83,-18,13,Midwest
East Tennessee State,19-8,1425.95,99,,14,Midwest
Wright State,16-11,1350.3,148,,15,Midwest
Southeast Missouri,15-11,1349.68,149,,16,Midwest
Connecticut,25-3,1769.34,4,,1,South
Houston,23-5,1731.46,11,-6,2,South
Nebraska,23-4,1662.33,20,,3,South
Texas Tech,20-7,1714.63,14,-1,4,South
Arkansas,20-7,1675.09,18,,5,South
Saint Louis,24-2,1646.83,24,,6,South
Wisconsin,19-8,1659.1,22,,7,South
Kentucky,17-10,1600.08,35,,8,South
Clemson,20-8,1553.18,51,,9,South
Texas,16-10,1569.3,46,,10,South
Miami (OH),24-0,1636.55,26,,11,South
Yale,19-4,1547.14,55,,12,South
UNCW,22-4,1554.79,50,,13,South
Navy,21-6,1424.02,103,,14,South
Portland State,15-8,1340.61,158,,15,South
UMBC,16-8,1305.96,186,1,16,South
Arizona,25-2,1817.05,3,,1,West
Illinois,22-6,1699.51,16,,2,West
Gonzaga,27-2,1749.86,8,1,3,West
Michigan State,22-5,1706.15,15,-1,4,West
Tennessee,20-7,1691.9,17,,5,West
BYU,20-7,1670.11,19,,6,West
North Carolina State,19-8,1617.24,31,,7,West
Miami (FL),21-6,1584.55,39,,8,West
Saint Mary's College,24-4,1656.66,23,,9,West
Auburn,15-12,1552.19,52,,10,West
