team,seed,region,prb_win_rd64,prb_win_rd32,prb_win_s16,prb_win_e8,prb_win_f4,prb_win_champ
Michigan,1,midwest,0.9444,0.7668,0.5432,0.369,0.2503,0.1526
Duke,1,east,0.9373,0.7435,0.478,0.3196,0.2004,0.1183
Arizona,1,west,0.954,0.7026,0.4824,0.321,0.1837,0.1047
Connecticut,1,south,0.935,0.6926,0.437,0.2673,0.1383,0.0712
Florida,3,midwest,0.8733,0.5783,0.3542,0.1722,0.0977,0.0502
Gonzaga,3,west,0.8748,0.5724,0.3636,0.1825,0.0909,0.0468
Purdue,2,east,0.903,0.6011,0.3592,0.1729,0.0904,0.0461
Houston,2,south,0.9061,0.5815,0.3504,0.1827,0.0834,0.0384
Virginia,4,midwest,0.8331,0.5493,0.2419,0.128,0.0698,0.0358
Saint John's,5,east,0.7445,0.4431,0.213,0.1227,0.0675,0.0345
Iowa State,2,midwest,0.8945,0.5573,0.2884,0.1304,0.07,0.0345
Kansas,3,east,0.8594,0.5583,0.2978,0.134,0.0686,0.0336
Alabama,4,east,0.9363,0.4596,0.1976,0.1051,0.0517,0.0256
Texas Tech,4,south,0.7136,0.4322,0.2162,0.1216,0.0554,0.0236
Illinois,2,west,0.7674,0.4964,0.2457,0.1138,0.0479,0.0201
Michigan State,4,west,0.7214,0.4156,0.175,0.0911,0.039,0.0169
Tennessee,5,west,0.7154,0.3826,0.1619,0.0819,0.0354,0.0153
Nebraska,3,south,0.7939,0.418,0.1987,0.0892,0.0341,0.0142
Arkansas,5,south,0.6778,0.3429,0.1553,0.0773,0.0316,0.0132
BYU,6,west,0.6417,0.2841,0.1581,0.0674,0.0273,0.0121
Wisconsin,7,south,0.62,0.2757,0.1465,0.0688,0.0264,0.0113
Saint Louis,6,south,0.503,0.2698,0.1238,0.0519,0.0198,0.0078
North Carolina,6,midwest,0.5882,0.2476,0.121,0.0422,0.0176,0.0062
Miami (OH),11,south,0.497,0.2656,0.1175,0.0479,0.017,0.0061
Villanova,7,midwest,0.5199,0.2292,0.0971,0.0364,0.0156,0.0058
Saint Mary's College,9,west,0.6031,0.1991,0.096,0.0437,0.0156,0.005
Louisville,6,east,0.5521,0.2321,0.0999,0.0309,0.0133,0.0048
North Carolina State,7,west,0.5979,0.2629,0.1007,0.0348,0.012,0.0046
Utah State,7,east,0.5575,0.2209,0.1005,0.0333,0.0115,0.0042
Vanderbilt,5,midwest,0.4978,0.2047,0.0621,0.0242,0.0104,0.0039
UCLA,10,midwest,0.4801,0.196,0.0741,0.0243,0.0102,0.0039
Kentucky,8,south,0.5575,0.176,0.0734,0.0307,0.01,0.0036
UCF,10,east,0.4425,0.159,0.066,0.019,0.0071,0.0027
Iowa,8,east,0.5548,0.1449,0.0529,0.0204,0.0079,0.0025
Belmont,12,midwest,0.5022,0.1979,0.0637,0.0241,0.0076,0.0025
Santa Clara,11,east,0.4479,0.1721,0.0654,0.0189,0.0064,0.002
SMU,8,midwest,0.4815,0.1017,0.0354,0.0116,0.0045,0.0018
Texas,10,south,0.38,0.1285,0.052,0.0182,0.0054,0.0017
Liberty,12,east,0.2555,0.0924,0.0246,0.009,0.0029,0.0015
Georgia,9,east,0.4452,0.0999,0.0323,0.0116,0.0032,0.0014
New Mexico,11,midwest,0.4118,0.1432,0.0576,0.0178,0.007,0.0014
Miami (FL),8,west,0.3969,0.0929,0.0343,0.014,0.0035,0.0013
Auburn,10,west,0.4021,0.156,0.051,0.0137,0.004,0.0012
Texas A&M,9,midwest,0.5185,0.1188,0.0435,0.0173,0.0068,0.0011
UNCW,13,south,0.2864,0.1138,0.0383,0.0144,0.0042,0.0008
Yale,12,south,0.3222,0.1111,0.0365,0.0135,0.0029,0.0007
Clemson,9,south,0.4425,0.1195,0.0417,0.0144,0.0033,0.0006
Indiana,11,west,0.3583,0.1177,0.052,0.0154,0.0053,0.0005
South Florida,12,west,0.2846,0.0986,0.0238,0.0071,0.0018,0.0005
High Point,13,west,0.2786,0.1032,0.0263,0.0075,0.0017,0.0004
Merrimack,15,west,0.2326,0.0847,0.0223,0.0051,0.0008,0.0004
Stephen F. Austin,13,midwest,0.1669,0.0481,0.0078,0.0013,0.0004,0.0001
North Dakota,13,east,0.0637,0.0049,0.0003,0.0,0.0,0.0
Austin Peay,14,east,0.1406,0.0375,0.0073,0.0022,0.0001,0.0
Utah Tech,15,east,0.097,0.019,0.0039,0.0002,0.0,0.0
Appalachian State,16,east,0.0627,0.0117,0.0013,0.0002,0.0001,0.0
East Tennessee State,14,midwest,0.1267,0.0309,0.0056,0.0005,0.0001,0.0
Wright State,15,midwest,0.1055,0.0175,0.002,0.0004,0.0,0.0
Southeast Missouri,16,midwest,0.0556,0.0127,0.0024,0.0003,0.0,0.0
Navy,14,south,0.2061,0.0466,0.0096,0.0017,0.0001,0.0
Portland State,15,south,0.0939,0.0143,0.0015,0.0002,0.0,0.0
UMBC,16,south,0.065,0.0119,0.0016,0.0002,0.0001,0.0
UC Irvine,14,west,0.1252,0.0258,0.0066,0.001,0.0,0.0
Long Island,16,west,0.046,0.0054,0.0003,0.0,0.0,0.0
